IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.159.155.122,443,443,true,FRA,Europe,Frankfurt,177,9.69
34.65.188.127,443,443,true,FRA,Europe,Frankfurt,175,9.68
34.65.212.138,443,443,true,FRA,Europe,Frankfurt,176,9.68
34.91.188.157,443,443,true,FRA,Europe,Frankfurt,174,9.67
34.90.78.95,443,443,true,FRA,Europe,Frankfurt,175,9.67
34.32.147.248,443,443,true,FRA,Europe,Frankfurt,176,9.67
34.65.2.140,443,443,true,FRA,Europe,Frankfurt,173,9.66
34.65.43.232,443,443,true,FRA,Europe,Frankfurt,173,9.66
34.159.252.38,443,443,true,FRA,Europe,Frankfurt,202,9.65
34.65.230.9,443,443,true,FRA,Europe,Frankfurt,174,9.65
34.65.103.109,443,443,true,FRA,Europe,Frankfurt,171,9.64
34.65.101.209,443,443,true,FRA,Europe,Frankfurt,176,9.63
34.65.170.148,443,443,true,FRA,Europe,Frankfurt,187,9.63
35.222.162.216,8080,80,false,ORD,North America,Chicago,206,9.63
34.65.171.227,443,443,true,FRA,Europe,Frankfurt,176,9.63
34.32.145.60,443,443,true,FRA,Europe,Frankfurt,177,9.62
34.118.21.89,443,443,true,FRA,Europe,Frankfurt,261,9.61
34.65.64.226,443,443,true,FRA,Europe,Frankfurt,178,9.61
34.90.78.95,443,443,true,FRA,Europe,Frankfurt,176,9.58
34.91.227.44,443,443,true,FRA,Europe,Frankfurt,179,9.56
34.116.132.252,443,443,true,FRA,Europe,Frankfurt,211,9.55
34.118.14.212,443,443,true,FRA,Europe,Frankfurt,184,9.54
34.65.19.230,443,443,true,FRA,Europe,Frankfurt,171,9.53
34.118.110.34,443,443,true,FRA,Europe,Frankfurt,188,9.53
34.91.141.136,443,443,true,FRA,Europe,Frankfurt,186,9.53
34.65.92.255,443,443,true,FRA,Europe,Frankfurt,178,9.52
34.91.109.181,443,443,true,FRA,Europe,Frankfurt,190,9.51
34.65.103.109,443,443,true,FRA,Europe,Frankfurt,180,9.51
34.65.171.157,443,443,true,FRA,Europe,Frankfurt,171,9.50
34.65.105.132,443,443,true,FRA,Europe,Frankfurt,172,9.50
34.118.123.62,443,443,true,FRA,Europe,Frankfurt,176,9.50
34.65.14.48,443,443,true,FRA,Europe,Frankfurt,175,9.49
34.89.171.21,443,443,true,FRA,Europe,Frankfurt,170,9.47
34.91.50.232,443,443,true,FRA,Europe,Frankfurt,175,9.47
34.118.49.212,443,443,true,FRA,Europe,Frankfurt,185,9.46
34.65.91.34,443,443,true,FRA,Europe,Frankfurt,174,9.46
34.159.193.79,443,443,true,FRA,Europe,Frankfurt,188,9.44
34.65.75.131,443,443,true,FRA,Europe,Frankfurt,175,9.43
34.118.97.51,443,443,true,FRA,Europe,Frankfurt,173,9.42
34.90.125.203,443,443,true,FRA,Europe,Frankfurt,175,9.41
34.159.252.184,443,443,true,FRA,Europe,Frankfurt,202,9.38
34.65.103.109,443,443,true,FRA,Europe,Frankfurt,176,9.36
34.91.18.119,443,443,true,FRA,Europe,Frankfurt,175,9.35
34.89.145.108,443,443,true,AMS,Europe,Amsterdam,212,9.34
34.65.129.192,443,443,true,FRA,Europe,Frankfurt,173,9.34
34.65.105.132,443,443,true,FRA,Europe,Frankfurt,172,9.32
34.91.50.232,443,443,true,FRA,Europe,Frankfurt,183,9.32
34.65.52.113,443,443,true,FRA,Europe,Frankfurt,177,9.32
34.118.30.93,443,443,true,FRA,Europe,Frankfurt,267,9.31
34.65.43.232,443,443,true,FRA,Europe,Frankfurt,177,9.31
34.118.86.165,443,443,true,FRA,Europe,Frankfurt,190,9.30
34.107.6.24,443,443,true,FRA,Europe,Frankfurt,180,9.30
34.65.191.40,443,443,true,FRA,Europe,Frankfurt,176,9.30
34.118.127.11,443,443,true,FRA,Europe,Frankfurt,189,9.29
34.90.233.120,443,443,true,FRA,Europe,Frankfurt,175,9.29
